Country,Proj_Area,District,Cluster,Village,Group_Name,date_registered,Groups,Trees
UG,Omoro,Uganda - Omoro,Rwot omara,Wang Lobo,Nen Anyim,10/27/2021 3:48,1,2191
UG,Omoro,Uganda - Omoro,Rwot omara,Wang Lobo,Yen Ayer kwo,10/27/2021 3:48,1,678
UG,Kayunga,Uganda - Kayunga,Kanywero,WUNGA,KIDUKULU KWAGALANA,10/27/2021 3:48,1,142
UG,Kayunga,Uganda - Kayunga,Nakivumbo  B,Bisaka,BWAVU MPOLOGOMA,10/26/2021 14:36,1,263
KE,Nanyuki,Kenya - Nyeri North,Magomano,Kamukombi - ini,Kamukombi - ini - B,10/26/2021 14:36,1,144
KE,Embu,Kenya - Mbeere South,Karaba-Mbeere,Katitu,KATITU GROUP,10/26/2021 14:36,1,356
UG,Kanungu,Uganda - Kanungu,Kinaba,KIZENGA,Kizenga Farmers,10/26/2021 14:36,1,963
UG,Amuru,Uganda - Amuru,Okidi,Mayaa,Pa Apire tree planting,10/26/2021 14:36,1,1240
UG,Kabale,Uganda - Kabale,Rwensanziro,Mukihita Mushanje parish,T.T.E tree planting.,10/26/2021 14:36,1,3960
UG,Kyenjojo,Uganda - Kyenjojo,Kyembogo,NSWIGA,Nswiga Tubekurungi group,10/26/2021 14:36,1,419
KE,Embu,Kenya - Mbeere South,Karaba-Mbeere,Nzanzani,UTHITHU  GROUP,10/26/2021 14:36,1,1378
UG,Soroti,Soroti,Katakwi,Otomei,Otomei Farmers Association,10/26/2021 14:36,1,74
UG,Bushenyi,Bushenyi,Kichwamba,Rwandaro,Rwandaro life style,10/26/2021 14:36,1,610
UG,Amuru,Uganda - Amuru,Coke,Opok,Opok The Yaa Group,10/26/2021 7:30,1,311
UG,Soroti,Soroti,Arapai,Kapalamio,Kapalamio tree planting group,10/25/2021 17:27,1,168
KE,Meru,South Imenti,Kanyakine,Mbuti,Kimathi  Mbuuti,5/13/2014 18:00,1,277
KE,Meru,South Imenti,Kanyakine,Nkurune,Mukuine  nkurune,5/13/2014 18:00,1,1458
UG,Soroti,Soroti,Arapai,Odwogai,Akeno tree planting,10/25/2021 17:27,1,99
UG,Soroti,Soroti,Arapai,Olano A,Olano purber tpg,10/25/2021 17:27,1,126
UG,Kanungu,Uganda - Kanungu,Hanturo,Runyami,Orishaba Nelson TPG,10/25/2021 17:27,1,2638
UG,Kanungu,Uganda - Kanungu,Hanturo,Runyami,TOFAYO TREE FARMERS GROUP,10/25/2021 17:27,1,1837
UG,Gulu,Uganda - Gulu,Paicho,Corner ward,Mak Tic A,10/25/2021 17:27,1,521
UG,Gulu,Uganda - Gulu,Paicho,Corner ward,Rwotomiya farmer's group C,10/25/2021 17:27,1,933
UG,Rukungiri,Rukungiri,Nyarushanje,Kabuhemba,Nyarushanje Tist Trees,10/25/2021 17:27,1,312
KE,Trans-Nzoia,Kenya - Transnzoia,Kapsara,Kahuho,Kahuho Big tree group,10/25/2021 17:27,1,847
UG,Kayunga,Uganda - Kayunga,Baliwamu,KAMIRA,TWEZIMBE  DEVELOPMENT  GROUP,10/25/2021 17:27,1,163
UG,Gulu,Uganda - Gulu,Panykworo,Loyo Alero,Aywee farmer group,10/25/2021 17:27,1,173
UG,Kayunga,Uganda - Kayunga,Baliwamu,MUTUKULA,MUTUKULA  FARMERS  ASSOCIATION,10/25/2021 17:27,1,284
KE,Trans-Nzoia,Kenya - Transnzoia,Kapsara,Nairobi ndogo,Nairobi store B group,10/25/2021 17:27,1,523
UG,Gulu,Uganda - Gulu,Panykworo,Rwot Obilo,Konye keni trees planting,10/25/2021 17:27,1,314
UG,Amuru,Uganda - Amuru,Okidi,Lagotobwona,Pur Ber tree planting,10/25/2021 8:17,1,1478
UG,Soroti,Soroti,Tubur-Ogolai,Abule,Abule B Agro Forest group,10/25/2021 7:07,1,1356
UG,Soroti,Soroti,Tubur-Ogolai,Abule B,Akwenyutu TPG Abule B,10/25/2021 7:07,1,730
