Country,Proj_Area,District,Cluster,Village,Group_Name,date_registered,Groups,Trees,Date,Year_Enroled
KE,Meru,Igembe,Anchenge,Anchenge,28193,01/02/2023 22:53,1,731,2023-01-02 22:53:00 UTC,2023
KE,Meru,Igembe,Anchenge,Anchenge,24069,01/02/2023 22:53,1,353,2023-01-02 22:53:00 UTC,2023
KE,Meru,Igembe,Anchenge,Mboone,29576,01/02/2023 22:53,1,600,2023-01-02 22:53:00 UTC,2023
KE,Meru,Igembe,Anchenge,Kiirune,32141,11/20/2022 22:30,1,348,2022-11-20 22:30:00 UTC,2022
KE,Meru,Igembe,Anchenge,Anchenge,15610,11/20/2022 22:30,1,400,2022-11-20 22:30:00 UTC,2022
KE,Meru,Igembe,Anchenge,Anchenge,30061,11/20/2022 22:30,1,239,2022-11-20 22:30:00 UTC,2022
KE,Meru,Igembe,Anchenge,Anchenge,17858,11/19/2022 22:31,1,216,2022-11-19 22:31:00 UTC,2022
KE,Meru,Igembe,Anchenge,Anchenge,15891,11/14/2022 0:30,1,335,2022-11-14 00:30:00 UTC,2022
KE,Meru,Igembe,Anchenge,Kibaune,35697,11/14/2022 0:30,1,1128,2022-11-14 00:30:00 UTC,2022
KE,Meru,Igembe,Anchenge,Anchenge,39568,10/19/2022 22:29,1,0,2022-10-19 22:29:00 UTC,2022
KE,Meru,Igembe,Anchenge,Anchenge,35857,10/19/2022 22:29,1,313,2022-10-19 22:29:00 UTC,2022
KE,Meru,Igembe,Anchenge,Anchenge,33838,10/19/2022 22:29,1,110,2022-10-19 22:29:00 UTC,2022
KE,Meru,Igembe,Anchenge,Anchenge,39675,10/19/2022 22:29,1,117,2022-10-19 22:29:00 UTC,2022
KE,Meru,Igembe,Anchenge,Anchenge,25454,10/19/2022 22:29,1,288,2022-10-19 22:29:00 UTC,2022
KE,Meru,Igembe,Anchenge,Anchenge,21433,10/19/2022 22:29,1,107,2022-10-19 22:29:00 UTC,2022
KE,Meru,Igembe,Anchenge,Anchenge,17073,10/19/2022 22:29,1,26,2022-10-19 22:29:00 UTC,2022
KE,Meru,Igembe,Anchenge,Anchenge,29147,10/19/2022 22:29,1,471,2022-10-19 22:29:00 UTC,2022
KE,Meru,Igembe,Anchenge,Anchenge,15714,10/19/2022 22:29,1,569,2022-10-19 22:29:00 UTC,2022
